Time,J06_10011_1,J06_10011_1,J06_10011_1,J06_9079_1,J06_9079_1,J06_9079_1,DAIRYFORK_MOULTON,DAIRYFORK_MOULTON
11/20/2023 0:00,,,,,,,,
11/21/2023 0:00,,,,,,,,
11/22/2023 0:00,,,,,,,,
11/23/2023 0:00,,,,,,,,
11/24/2023 0:00,,,,,,,,
11/25/2023 0:00,,,,,,,,
11/26/2023 0:00,,,,,,,,
11/27/2023 0:00,,,,,,,,
11/28/2023 0:00,,,,,,,,
11/29/2023 0:00,,,,,,,,
11/30/2023 0:00,,,,,,,,
12/1/2023 0:00,,,,,,,,
12/2/2023 0:00,,,,,,,,
12/3/2023 0:00,,,,,,,,
12/4/2023 0:00,,,,,,,,
12/5/2023 0:00,,,,,,,,
12/6/2023 0:00,,,,,,,,
12/7/2023 0:00,,,,,,,,
12/8/2023 0:00,,,,,,,,
12/9/2023 0:00,,,,,,,,
12/10/2023 0:00,,,,,,,,
12/11/2023 0:00,,,,,,,,
12/12/2023 0:00,,,,,,,,
12/13/2023 0:00,,,,,,,,
12/14/2023 0:00,,,,,,,,
12/15/2023 0:00,,,,,,,,
12/16/2023 0:00,,,,,,,,
12/17/2023 0:00,,,,,,,,
12/18/2023 0:00,,,,,,,,
12/19/2023 0:00,,,,,,,,
12/20/2023 0:00,,,,,,,,
12/21/2023 0:00,,,,,,,,
12/22/2023 0:00,,,,,,,,
12/23/2023 0:00,,,,,,,,
12/24/2023 0:00,,,,,,,,
12/25/2023 0:00,,,,,,,,
12/26/2023 0:00,,,,,,,,
12/27/2023 0:00,,,,,,,,
12/28/2023 0:00,,,,,,,,
12/29/2023 0:00,,,,,,,,
12/30/2023 0:00,,,,,,,,
12/31/2023 0:00,,,,,,,,
1/1/2024 0:00,,,,,,,,
1/2/2024 0:00,,,,,,,,
1/3/2024 0:00,,,,,,,,
1/4/2024 0:00,,,,,,,,
1/5/2024 0:00,,,,,,,,
1/6/2024 0:00,,,,,,,,
1/7/2024 0:00,,,,,,,,
1/8/2024 0:00,,,,,,,,
1/9/2024 0:00,,,,,,,,
1/10/2024 0:00,,,,,,,,
1/11/2024 0:00,,,,,,,,
1/12/2024 0:00,,,,,,,,
1/13/2024 0:00,,,,,,,,
1/14/2024 0:00,,,,,,,,
1/15/2024 0:00,,,,,,,,
1/16/2024 0:00,,,,,,,,
1/17/2024 0:00,,,,,,,,
1/18/2024 0:00,,,,,,,,
1/19/2024 0:00,,,,,,,,
1/20/2024 0:00,,,,,,,,
1/21/2024 0:00,,,,,,,,
1/22/2024 0:00,,,,,,,,
1/23/2024 0:00,,,,,,,,
1/24/2024 0:00,,,,,,,,
1/25/2024 0:00,,,,,,,,
1/26/2024 0:00,,,,,,,,
1/27/2024 0:00,,,,,,,,
1/28/2024 0:00,,,,,,,,
1/29/2024 0:00,,,,,,,,
1/30/2024 0:00,,,,,,,,
1/31/2024 0:00,,,,,,,,
2/1/2024 0:00,,,,,,,,
2/2/2024 0:00,73.5,12.9,1.04,,,,,
2/3/2024 0:00,,,,,,,,
2/4/2024 0:00,,,,,,,,
2/5/2024 0:00,,,,,,,,
2/6/2024 0:00,,,,,,,,
2/7/2024 0:00,,,,,,,,
2/8/2024 0:00,,,,,,,,
2/9/2024 0:00,,,,,,,,
2/10/2024 0:00,,,,,,,,
2/11/2024 0:00,,,,,,,,
2/12/2024 0:00,,,,,,,,
2/13/2024 0:00,,,,,,,,
2/14/2024 0:00,,,,,,,,
2/15/2024 0:00,,,,,,,,
2/16/2024 0:00,,,,,,,,
2/17/2024 0:00,,,,,,,,
2/18/2024 0:00,,,,,,,,
2/19/2024 0:00,,,,,,,,
2/20/2024 0:00,,,,,,,,
2/21/2024 0:00,,,,,,,,
2/22/2024 0:00,,,,,,,,
2/23/2024 0:00,,,,,,,,
2/24/2024 0:00,,,,,,,,
2/25/2024 0:00,,,,,,,,
2/26/2024 0:00,,,,,,,,
2/27/2024 0:00,,,,,,,,
2/28/2024 0:00,,,,,,,,
2/29/2024 0:00,,,,,,,,
3/1/2024 0:00,,,,,,,,
3/2/2024 0:00,,,,,,,,
3/3/2024 0:00,,,,,,,,
3/4/2024 0:00,,,,,,,,
3/5/2024 0:00,,,,,,,,
3/6/2024 0:00,,,,,,,,
3/7/2024 0:00,,,,,,,,
3/8/2024 0:00,,,,,,,,
3/9/2024 0:00,,,,,,,,
3/10/2024 0:00,,,,,,,,
3/11/2024 0:00,,,,,,,,
3/12/2024 0:00,,,,,,,,
3/13/2024 0:00,,,,,,,,
3/14/2024 0:00,,,,,,,,
3/15/2024 0:00,,,,,,,,
3/16/2024 0:00,,,,,,,,
3/17/2024 0:00,,,,,,,,
3/18/2024 0:00,,,,,,,,
3/19/2024 0:00,,,,,,,,
3/20/2024 0:00,,,,,,,,
3/21/2024 0:00,,,,,,,,
3/22/2024 0:00,,,,,,,,
3/23/2024 0:00,,,,,,,,
3/24/2024 0:00,,,,,,,,
3/25/2024 0:00,,,,,,,,
3/26/2024 0:00,,,,,,,,
3/27/2024 0:00,,,,,,,,
3/28/2024 0:00,,,,,,,,
3/29/2024 0:00,,,,,,,,
3/30/2024 0:00,,,,,,,,
3/31/2024 0:00,,,,,,,,
4/1/2024 0:00,,,,67.3,1.46,0.318,,
4/2/2024 0:00,,,,,,,,
4/3/2024 0:00,,,,68,0.74,0.052,,
4/4/2024 0:00,,,,,,,,
4/5/2024 0:00,,,,,,,,
4/6/2024 0:00,,,,,,,,
4/7/2024 0:00,,,,,,,,
4/8/2024 0:00,,,,,,,,
4/9/2024 0:00,,,,,,,,
4/10/2024 0:00,,,,68.1,0.65,0.039,,
4/11/2024 0:00,,,,68.1,0.67,0.042,,
4/12/2024 0:00,,,,,,,,
4/13/2024 0:00,,,,,,,,
4/14/2024 0:00,,,,,,,,
4/15/2024 0:00,,,,,,,,
4/16/2024 0:00,,,,,,,,
4/17/2024 0:00,,,,,,,,
4/18/2024 0:00,,,,,,,,
4/19/2024 0:00,,,,,,,,
4/20/2024 0:00,,,,,,,,
4/21/2024 0:00,,,,,,,,
4/22/2024 0:00,,,,,,,,
4/23/2024 0:00,,,,,,,,
4/24/2024 0:00,,,,,,,,
4/25/2024 0:00,,,,,,,,
4/26/2024 0:00,,,,,,,,
4/27/2024 0:00,,,,,,,,
4/28/2024 0:00,,,,,,,,
4/29/2024 0:00,,,,,,,,
4/30/2024 0:00,,,,,,,,
5/1/2024 0:00,,,,,,,,
5/2/2024 0:00,,,,,,,,
5/3/2024 0:00,,,,,,,,
5/4/2024 0:00,,,,,,,,
5/5/2024 0:00,,,,,,,,
5/6/2024 0:00,,,,,,,,
5/7/2024 0:00,,,,,,,,
5/8/2024 0:00,,,,,,,,
5/9/2024 0:00,,,,,,,,
5/10/2024 0:00,,,,,,,,
5/11/2024 0:00,,,,,,,,
5/12/2024 0:00,,,,,,,,
5/13/2024 0:00,,,,,,,,
5/14/2024 0:00,,,,,,,,
5/15/2024 0:00,,,,,,,,
5/16/2024 0:00,,,,,,,,
5/17/2024 0:00,,,,,,,,
5/18/2024 0:00,,,,,,,,
5/19/2024 0:00,,,,,,,,
5/20/2024 0:00,,,,,,,,
5/21/2024 0:00,,,,,,,,
5/22/2024 0:00,,,,,,,,
5/23/2024 0:00,,,,,,,,
5/24/2024 0:00,,,,,,,,
5/25/2024 0:00,,,,,,,,
5/26/2024 0:00,,,,,,,,
5/27/2024 0:00,,,,,,,,
5/28/2024 0:00,,,,,,,,
5/29/2024 0:00,,,,,,,,
5/30/2024 0:00,,,,,,,,
5/31/2024 0:00,,,,,,,,
6/1/2024 0:00,,,,,,,,
6/2/2024 0:00,,,,,,,,
6/3/2024 0:00,,,,,,,,
6/4/2024 0:00,,,,,,,,
6/5/2024 0:00,,,,,,,,
6/6/2024 0:00,,,,,,,,
6/7/2024 0:00,,,,,,,,
6/8/2024 0:00,,,,,,,,
6/9/2024 0:00,,,,,,,,
6/10/2024 0:00,,,,,,,,
6/11/2024 0:00,,,,,,,,
6/12/2024 0:00,,,,,,,,
6/13/2024 0:00,,,,,,,,
6/14/2024 0:00,,,,,,,,
6/15/2024 0:00,,,,,,,,
6/16/2024 0:00,,,,,,,,
6/17/2024 0:00,,,,,,,,
6/18/2024 0:00,,,,,,,,
6/19/2024 0:00,,,,,,,,
6/20/2024 0:00,,,,,,,,
6/21/2024 0:00,,,,,,,,
6/22/2024 0:00,,,,,,,,
6/23/2024 0:00,,,,,,,,
6/24/2024 0:00,,,,,,,,
6/25/2024 0:00,,,,,,,,
6/26/2024 0:00,,,,,,,,
6/27/2024 0:00,,,,,,,,
6/28/2024 0:00,,,,,,,,
6/29/2024 0:00,,,,,,,,
6/30/2024 0:00,,,,,,,,
7/1/2024 0:00,,,,,,,,
7/2/2024 0:00,77.1,9.38,0.017,,,,,
7/3/2024 0:00,77.1,9.41,0.02,,,,,
7/4/2024 0:00,77.1,9.42,0.021,68.1,0.66,0.045,,
7/5/2024 0:00,77.1,9.34,0.015,,,,,
7/6/2024 0:00,77.1,9.35,0.016,,,,,
7/7/2024 0:00,77.1,9.38,0.016,,,,,
7/8/2024 0:00,77,9.45,0.021,,,,,
7/9/2024 0:00,77.2,9.32,0.015,,,,,
7/10/2024 0:00,77.1,9.36,0.016,,,,,
7/11/2024 0:00,77,9.43,0.02,,,,,
7/12/2024 0:00,77.2,9.3,0.013,,,,,
7/13/2024 0:00,77.2,9.32,0.014,,,,,
7/14/2024 0:00,77.1,9.37,0.019,,,,,
7/15/2024 0:00,77.2,9.32,0.014,,,,,
7/16/2024 0:00,77.1,9.35,0.016,,,,,
7/17/2024 0:00,77.1,9.4,0.018,,,,,
7/18/2024 0:00,77,9.48,0.023,,,,,
7/19/2024 0:00,77.2,9.3,0.014,,,,,
7/20/2024 0:00,77,9.45,0.019,,,,,
7/21/2024 0:00,77.1,9.42,0.019,,,,,
7/22/2024 0:00,77.1,9.35,0.016,,,,,
7/23/2024 0:00,77.2,9.3,0.014,,,,,
7/24/2024 0:00,77.1,9.37,0.02,,,,,
7/25/2024 0:00,77.1,9.35,0.015,,,,,
7/26/2024 0:00,77.2,9.31,0.014,,,,,
7/27/2024 0:00,77.1,9.39,0.021,,,,,
7/28/2024 0:00,77.1,9.35,0.018,,,,,
7/29/2024 0:00,77.1,9.34,0.017,,,,,
7/30/2024 0:00,77.1,9.35,0.017,,,,,
7/31/2024 0:00,77.1,9.41,0.017,,,,,
8/1/2024 0:00,77.1,9.35,0.016,,,,,
8/2/2024 0:00,77.1,9.35,0.015,,,,,
8/3/2024 0:00,77.1,9.41,0.017,,,,,
8/4/2024 0:00,77,9.47,0.022,,,,,
8/5/2024 0:00,77,9.44,0.02,,,,,
8/6/2024 0:00,77.2,9.27,0.013,,,,,
8/7/2024 0:00,77.1,9.41,0.018,,,,,
8/8/2024 0:00,77,9.51,0.022,,,,,
8/9/2024 0:00,77,9.51,0.023,,,,,
8/10/2024 0:00,77.1,9.34,0.015,,,,,
8/11/2024 0:00,77.1,9.35,0.018,,,,,
8/12/2024 0:00,77.1,9.36,0.016,,,,,
8/13/2024 0:00,77,9.46,0.019,,,,,
8/14/2024 0:00,77,9.51,0.025,,,,,
8/15/2024 0:00,77,9.48,0.021,,,,,
8/16/2024 0:00,76.9,9.58,0.026,,,,,
8/17/2024 0:00,77,9.51,0.022,,,,,
8/18/2024 0:00,77,9.44,0.019,,,,,
8/19/2024 0:00,77.1,9.39,0.018,,,,,
8/20/2024 0:00,77,9.5,0.022,,,,,
8/21/2024 0:00,77.1,9.43,0.019,,,,,
8/22/2024 0:00,77,9.44,0.019,,,,,
8/23/2024 0:00,77.1,9.38,0.017,,,,,
8/24/2024 0:00,77.2,9.32,0.014,,,,,
8/25/2024 0:00,77.2,9.23,0.011,,,,,
8/26/2024 0:00,77.3,9.18,0.01,,,,,
8/27/2024 0:00,77.2,9.31,0.014,,,,,
8/28/2024 0:00,,,,,,,,
8/29/2024 0:00,77.1,9.35,0.015,,,,,
8/30/2024 0:00,77.1,9.35,0.015,,,,,
8/31/2024 0:00,77.1,9.35,0.015,,,,,
9/1/2024 0:00,77.1,9.34,0.015,,,,,
9/2/2024 0:00,77.1,9.37,0.016,,,,,
9/3/2024 0:00,77,9.45,0.02,,,,,
9/4/2024 0:00,77.1,9.33,0.014,,,,,
9/5/2024 0:00,77.1,9.41,0.017,,,,,
9/6/2024 0:00,77.1,9.36,0.024,68.2,0.56,0.029,,
9/7/2024 0:00,77.2,9.29,0.013,68.1,0.59,0.032,,
9/8/2024 0:00,77.1,9.37,0.016,68.1,0.61,0.034,,
9/9/2024 0:00,77.1,9.36,0.016,68.1,0.58,0.031,,
9/10/2024 0:00,77.1,9.34,0.015,68.2,0.53,0.026,,
9/11/2024 0:00,77,9.49,0.021,68.1,0.6,0.034,,
9/12/2024 0:00,77.1,9.37,0.016,68.1,0.6,0.033,,
9/13/2024 0:00,77.1,9.34,0.014,68.2,0.55,0.031,,
9/14/2024 0:00,77.1,9.39,0.018,,,,,
9/15/2024 0:00,77.1,9.38,0.016,,,,,
9/16/2024 0:00,77,9.49,0.02,,,,,
9/17/2024 0:00,77,9.44,0.019,,,,,
9/18/2024 0:00,77.1,9.36,0.015,68.1,0.62,0.039,,
9/19/2024 0:00,77.1,9.4,0.017,,,,,
9/20/2024 0:00,77.1,9.4,0.017,,,,,
9/21/2024 0:00,77.1,9.39,0.017,,,,,
9/22/2024 0:00,77.1,9.38,0.016,,,,,
9/23/2024 0:00,77,9.43,0.018,,,,,
9/24/2024 0:00,77.1,9.42,0.018,,,,,
9/25/2024 0:00,,,,,,,,
9/26/2024 0:00,77.2,9.28,0.012,,,,,
9/27/2024 0:00,77.1,9.36,0.016,,,,,
9/28/2024 0:00,,,,,,,,
9/29/2024 0:00,77.1,9.36,0.016,,,,,
9/30/2024 0:00,77.2,9.32,0.014,,,,,
10/1/2024 0:00,77.2,9.32,0.014,,,,,
