jurisdicti,EMC_Group,RC,EMC_Group_Area,RC_Group,Juris_LU_Volume,"Copper, Total - Dissolved - mg/L","Copper, Total - Total - mg/L",Fecal coliforms - Total - CFU/100 mL,"Lead, Total - Total - mg/L",TN - Total - mg/L,TP - Total - mg/L,TSS - Total - mg/L,"Zinc, Total - Dissolved - mg/L","Zinc, Total - Total - mg/L"
ALISO VIEJO,agriculture,0.222,12.713845295428296,Agriculture,4.751163986901554,0.08131428600277765,0.18747876542607453,51237398189.20684,0.007852707536140374,71.38325295554347,11.478042421589604,795.7853341979636,0.12247827799774877,0.5386524354513421
ALISO VIEJO,business,0.414,67.45681443990236,Light Industrial,47.01065398316795,1.0678575819627725,1.5493018383565447,2577592814565.6255,0.07959100994394948,381.4858886448102,34.12241888263234,2244.9523495270314,5.639691878453024,8.988165296398622
ALISO VIEJO,business,0.422,203.84030133874364,Education,144.80135539433218,3.289195366048035,4.772131146894552,7939454178566.232,0.24515477111239747,1175.0458472532252,105.10324968692031,6914.861110496272,17.371275632515122,27.685182126860397
ALISO VIEJO,business,0.486,515.2237748248427,Commercial,421.50457018420383,9.574571144326589,13.891272512309461,23111083538688.55,0.7136249252980589,3420.4596596793376,305.94672241571055,20128.579268652917,50.56632273292395,80.58923731117547
ALISO VIEJO,developed open space,0.217,965.3937189078367,Developed Open Space,352.64223562171765,0.31750818193497515,4.471469535157994,21442704670038.58,0.5778971057439344,3122.2685752712973,312.49353816672027,26991.13610052168,9.358361606354837,10.446161480481397
ALISO VIEJO,highway/arterial,0.45,222.66752750617496,Freeway,168.67065208592754,8.811180971385918,10.96943660899715,1068591584509.3597,1.0906314623768636,1270.3241137050175,233.42515155895683,7066.886335924028,49.68996789336609,59.87977914797492
ALISO VIEJO,multi-family,0.485,795.0498647189866,Multi-family Residential,649.0919603876592,14.60929444568985,18.36435399129156,32803046179259.242,0.9280708235372059,6586.059772384071,506.4797519131689,25734.502232927298,40.4974824185447,80.4749117571534
ALISO VIEJO,open space,0.078,274.59559094128105,Open Space,36.054401090590204,0.029678297786681407,0.38124314147825167,128506684930.11278,0.06720680222621454,140.19601908434998,7.5571491627564145,4233.550682208637,0.7727668978237667,0.8281829302395878
ALISO VIEJO,single family,0.405,589.1525823100146,Single Family Residential,401.6547729898525,9.083114401941817,13.437315515538812,30114862966521.06,0.8275287730143781,3389.9962774556534,374.4954872708808,32934.410664575014,17.42358226506766,50.485780894524005
ALISO VIEJO,surface street,0.471,652.3989982438969,Streets and Roads,517.2545457576737,14.565686231489572,20.816559594256024,28912580046946.758,1.6353645888556363,4469.490534855857,529.9345100521969,38308.720504526755,44.39238008299741,95.71164538767053
DANA POINT,agriculture,0.222,31.27477386830112,Agriculture,11.68738299458413,0.20002492148568846,0.46117880606248407,126038818684.0497,0.019316866513627098,175.59558436432528,28.234823756669716,1957.5514564190185,0.30128417950278946,1.3250305254546424
DANA POINT,business,0.414,30.868449558783,Light Industrial,21.51222249751587,0.48865497397818625,0.708965373561272,1179514544826.106,0.03642109542507707,174.56913743697496,15.614525750257553,1027.2972262125527,2.5807406667891466,4.113012590078162
DANA POINT,business,0.422,62.57923053946657,Education,44.454199400885734,1.0097871409599526,1.4650503028339168,2437422482869.892,0.0752628250573378,360.7405625225398,32.266830697403265,2122.8711140052183,5.333003608375071,8.49938595785729
DANA POINT,business,0.486,356.9595247509444,Commercial,292.02858719874763,6.633495060539142,9.624210443055727,16011919091377.81,0.49441665278630437,2369.777394228357,211.96730812693724,13945.567810982178,35.03357456142973,55.83417780054509
DANA POINT,developed open space,0.217,812.3868306572933,Developed Open Space,296.75136945859833,0.26718577154378453,3.76277874291249,18044214030437.46,0.48630521308183183,2627.4149320083393,262.96590717344577,22713.26515087446,7.8751389993840455,8.790531626063695
DANA POINT,highway/arterial,0.45,52.36644150676027,Freeway,39.667579441370904,2.0721934541208036,2.579767094828113,251308932791.17154,0.25649222102404046,298.75192912049596,54.89639500748389,1661.9742181976956,11.685973371616077,14.08238995290049
DANA POINT,multi-family,0.485,427.3359009687976,Multi-family Residential,348.8841518159425,7.852433264263194,9.870761705433821,17631496986028.055,0.4988340972541452,3539.9789517112654,272.23069987285345,13832.184854944353,21.767223546932772,43.25492078824872
DANA POINT,open space,0.078,136.1628092608208,Open Space,17.87817685594577,0.014716479557670234,0.18904577811010762,63722185665.46846,0.033325615175352916,69.51853720692402,3.7473386097594443,2099.2768021568845,0.3831893707789147,0.4106683358488253
DANA POINT,single family,0.405,1438.7518159334993,Single Family Residential,980.8690505126633,22.18160071349545,32.81486439972822,73542601832934.66,2.020883147525871,8278.608032359662,914.5441750543976,80428.13453276694,42.54960663270387,123.28980831419923
DANA POINT,surface street,0.471,701.1575647210418,Streets and Roads,555.9127751890779,15.65428689199796,22.372333909566255,31073429404532.375,1.757587389986113,4803.528373585444,569.5404063004518,41171.8124166882,47.71014853632405,102.86487927802513
LAGUNA BEACH,agriculture,0.222,162.94633459290824,Agriculture,60.89304523736982,1.042160302120122,2.4028118110865675,656681439407.6921,0.10064381624214785,914.879735449255,147.10773156666204,10199.141197429715,1.5697364568499803,6.903610822439421
LAGUNA BEACH,business,0.414,22.089434616369793,Light Industrial,15.394126984148107,0.3496810579067059,0.5073349808103976,844059542652.9956,0.026062902981788878,124.92151703657382,11.173740520044932,735.1329669728603,1.8467756896013328,2.9432680935860804
LAGUNA BEACH,business,0.422,54.680814564051886,Education,38.84342797248366,0.8823372056192424,1.2801394847088567,2129784045778.643,0.06576355357919436,315.2098169789179,28.194283801901868,1854.9336693280966,4.659900399303673,7.426638893822721
LAGUNA BEACH,business,0.486,226.96410478445577,Commercial,185.67933412416326,4.2177478498656935,6.119322096782274,10180792584232.86,0.3143629045014683,1506.7658026347601,134.77430071705606,8866.952958150807,22.275253457047146,35.500815364763064
LAGUNA BEACH,developed open space,0.217,355.7116241091355,Developed Open Space,129.9355277599987,0.11698993773421375,1.6475699596481594,7900837921445.119,0.2129335565645713,1150.439664214034,115.14222830313034,9945.22822225226,3.448207649168323,3.8490213817965264
LAGUNA BEACH,highway/arterial,0.45,57.28668115054294,Freeway,43.39466097153628,2.2668923507650587,2.8221565329200775,274921386461.45215,0.28059168544996355,326.8220259806284,60.054343709835685,1818.1297865355853,12.783962614436625,15.405541408905439
LAGUNA BEACH,multi-family,0.485,234.87001939179856,Multi-family Residential,191.75179833178754,4.315811400046551,5.425114033038709,9690526889097.518,0.274166466776509,1945.6238597086453,149.62194754343503,7602.3697464841225,11.96358228967757,23.77353286090625
LAGUNA BEACH,open space,0.078,2084.0995014906416,Open Space,273.6422645457212,0.22524952207094956,2.893522938143078,975327816018.4778,0.5100797960240563,1064.0464127013092,57.356532014233885,32131.40034798704,5.865072709296968,6.28566404194185
LAGUNA BEACH,single family,0.405,1877.8150846611957,Single Family Residential,1280.2004339677703,28.95075019919804,42.828962360642095,95985565792328.36,2.6375951826684463,10804.987261180877,1193.6352249827876,104972.35352491851,55.53445166597412,160.91410573628184
LAGUNA BEACH,surface street,0.471,551.5925913983584,Streets and Roads,437.3301860901884,12.315047441135277,17.600057758368045,24445109503595.137,1.382673783798119,3778.880520950646,448.05088673945573,32389.39126688797,37.53302508776572,80.92261736835032
