FACILITYID,EMC_Group,RC,RC_WMAcf,EMC_Group_Area,Area_Rainfall,Trib_LU_Volume_RC,Trib_LU_Volume_RC_WMAcf,TotalVol_RC,TotalVol_RC_WMAcf
DP01-12022-1,developed open space,0.217,0.03558707832292528,0.358599294,20.2,0.1309903454433,0.021481860289574908,6.1165866418911,1.2011394152508699
DP01-12022-1,open space,0.078,0.01509272325584778,0.012032796,20.2,0.0015799061148,3.0570622770382145e-4,6.1165866418911,1.2011394152508699
DP01-12022-1,single family,0.405,0.07981888209877125,8.777435116,20.2,5.984016390333,1.1793518487335912,6.1165866418911,1.2011394152508699
DP01-12022-2,single family,0.405,0.07981888209877125,10.181292044,20.2,6.941095850997,1.3679765712765428,6.941095850997,1.3679765712765428
DP02-12131-1,developed open space,0.217,0.03558707832292528,0.935226113,20.2,0.34162251197701665,0.05602464097050954,6.915243116406117,1.3515827150536506
DP02-12131-1,open space,0.078,0.01509272325584778,0.275677699,20.2,0.036196481878700004,0.007003890818340105,6.915243116406117,1.3515827150536506
DP02-12131-1,single family,0.405,0.07981888209877125,6.221590364,20.2,4.241569230657,0.8359439860137949,6.915243116406117,1.3515827150536506
DP02-12131-1,surface street,0.471,0.09285404040906696,2.895698924,20.2,2.2958548918934,0.452610197251006,6.915243116406117,1.3515827150536506
DP04-12015-1,agriculture,0.222,0.01579763902777137,12.14913212,20.2,4.5401306732440005,0.32307813294964566,59.03980881212294,15.57854962055436
DP04-12015-1,agriculture,0.222,0.222,12.14913212,20.2,4.5401306732440005,4.5401306732440005,59.03980881212294,15.57854962055436
DP04-12015-1,business,0.422,0.14449337642180793,2.041358588,20.2,1.4501130956289332,0.49652070469408677,59.03980881212294,15.57854962055436
DP04-12015-1,developed open space,0.217,0.03558707832292528,20.41527786,20.2,7.457360747627001,1.2229754885166388,59.03980881212294,15.57854962055436
DP04-12015-1,multi-family,0.485,0.13696337177934276,13.72390749,20.2,11.2044268066275,3.164115617093931,59.03980881212294,15.57854962055436
DP04-12015-1,open space,0.078,0.01509272325584778,108.01239434,20.2,14.182027376842,2.7441719795581174,59.03980881212294,15.57854962055436
DP04-12015-1,single family,0.405,0.07981888209877125,19.99333051,20.2,13.630453075192502,2.686339572744751,59.03980881212294,15.57854962055436
DP04-12015-1,surface street,0.471,0.09285404040906696,2.56689962,20.2,2.035166363717,0.4012174517531894,59.03980881212294,15.57854962055436
DP05-12190-1,developed open space,0.217,0.03558707832292528,10.33474624,20.2,3.7751105557013336,0.6191020968822365,31.844304987366435,6.1512310068613205
DP05-12190-1,single family,0.405,0.07981888209877125,37.43873988,20.2,25.523860913190003,5.030335913420614,31.844304987366435,6.1512310068613205
DP05-12190-1,surface street,0.471,0.09285404040906696,3.210359486,20.2,2.5453335184751,0.5017929965584703,31.844304987366435,6.1512310068613205
DP06-12106-1,agriculture,0.222,0.01579763902777137,0.958792217,20.2,0.35830065149289997,0.02549686646711777,45.559733981161,10.20734897593458
DP06-12106-1,agriculture,0.222,0.222,0.958792217,20.2,0.35830065149289997,0.35830065149289997,45.559733981161,10.20734897593458
DP06-12106-1,business,0.486,0.12161927879041888,17.5046651,20.2,14.32056651831,3.583656320631856,45.559733981161,10.20734897593458
DP06-12106-1,developed open space,0.217,0.03558707832292528,8.342639999000001,20.2,3.047427347634717,0.4997651414917102,45.559733981161,10.20734897593458
DP06-12106-1,multi-family,0.485,0.13696337177934276,4.682116595,20.2,3.8225580234345835,1.0794854344572793,45.559733981161,10.20734897593458
DP06-12106-1,open space,0.078,0.01509272325584778,3.280301453,20.2,0.4307035807789,0.08333961474357202,45.559733981161,10.20734897593458
DP06-12106-1,single family,0.405,0.07981888209877125,17.75320231,20.2,12.1032456748425,2.3853519494634976,45.559733981161,10.20734897593458
DP06-12106-1,surface street,0.471,0.09285404040906696,14.02362557,20.2,11.118631533174499,2.191952997186648,45.559733981161,10.20734897593458
I00-11437-1,agriculture,0.222,0.01579763902777137,6.141847468,20.2,2.2952083987916,0.16332826025954422,328.59957269694803,67.43589739758283
I00-11437-1,agriculture,0.222,0.222,6.141847468,20.2,2.2952083987916,2.2952083987916,328.59957269694803,67.43589739758283
I00-11437-1,business,0.422,0.14449337642180793,12.20482247,20.2,8.669899055272333,2.968585278987067,328.59957269694803,67.43589739758283
I00-11437-1,business,0.486,0.12161927879041888,6.210860686,20.2,5.0811051272166,1.271523335453462,328.59957269694803,67.43589739758283
I00-11437-1,developed open space,0.217,0.03558707832292528,28.935515077,20.2,10.569661399043484,1.733379576288297,328.59957269694803,67.43589739758283
I00-11437-1,multi-family,0.485,0.13696337177934276,0.120777457,20.2,0.09860472885241667,0.027845847705185216,328.59957269694803,67.43589739758283
I00-11437-1,open space,0.078,0.01509272325584778,150.64997512,20.2,19.780341733255998,3.8274259446939642,328.59957269694803,67.43589739758283
I00-11437-1,single family,0.405,0.07981888209877125,342.6361179,20.2,233.59217337832501,46.03720036069199,328.59957269694803,67.43589739758283
I00-11437-1,surface street,0.471,0.09285404040906696,58.29270414,20.2,46.217370477398994,9.11140039471173,328.59957269694803,67.43589739758283
I00-11453-1,business,0.422,0.14449337642180793,24.44795845,20.2,17.367014750931666,5.946489572818626,203.97202796074092,43.041201613708175
I00-11453-1,business,0.486,0.12161927879041888,2.163212501,20.2,1.7697241470681,0.4428653794740977,203.97202796074092,43.041201613708175
I00-11453-1,developed open space,0.217,0.03558707832292528,13.28202051,20.2,4.8517007252945,0.7956583120297178,203.97202796074092,43.041201613708175
I00-11453-1,multi-family,0.485,0.13696337177934276,5.879925016,20.2,4.800468781812666,1.3556461659351275,203.97202796074092,43.041201613708175
I00-11453-1,open space,0.078,0.01509272325584778,58.01529374,20.2,7.617408068062,1.4739414345913058,203.97202796074092,43.041201613708175
I00-11453-1,single family,0.405,0.07981888209877125,192.3634856,20.2,131.1438063078,25.84630126831205,203.97202796074092,43.041201613708175
I00-11453-1,surface street,0.471,0.09285404040906696,45.93795192,20.2,36.421905179772004,7.18029948054725,203.97202796074092,43.041201613708175
I00-11468-1,agriculture,0.222,0.01579763902777137,1.457229545,20.2,0.5445666809665,0.03875165699306442,86.94788247447802,17.444005554185683
I00-11468-1,agriculture,0.222,0.222,1.457229545,20.2,0.5445666809665,0.5445666809665,86.94788247447802,17.444005554185683
I00-11468-1,business,0.486,0.12161927879041888,2.646708796,20.2,2.1652724660076,0.5418495384785927,86.94788247447802,17.444005554185683
I00-11468-1,developed open space,0.217,0.03558707832292528,10.74560451,20.2,3.9251902340945,0.6437145266963243,86.94788247447802,17.444005554185683
I00-11468-1,multi-family,0.485,0.13696337177934276,0.120777457,20.2,0.09860472885241667,0.027845847705185216,86.94788247447802,17.444005554185683
I00-11468-1,open space,0.078,0.01509272325584778,117.22134573,20.2,15.391162694349001,2.9781353734812552,86.94788247447802,17.444005554185683
I00-11468-1,single family,0.405,0.07981888209877125,71.88172632,20.2,49.00536691866,9.658157047623574,86.94788247447802,17.444005554185683
I00-11468-1,surface street,0.471,0.09285404040906696,19.26360859,20.2,15.2731520705815,3.0109848822411878,86.94788247447802,17.444005554185683
I00-11518-1,agriculture,0.222,0.01579763902777137,6.141847468,20.2,2.2952083987916,0.16332826025954422,357.43543662180275,73.38274095092206
I00-11518-1,agriculture,0.222,0.222,6.141847468,20.2,2.2952083987916,2.2952083987916,357.43543662180275,73.38274095092206
I00-11518-1,business,0.422,0.14449337642180793,12.20482247,20.2,8.669899055272333,2.968585278987067,357.43543662180275,73.38274095092206
